PARÂMETROS
50;8;5;8
COORDENADAS
0;85;121
1;769;769
2;120;80
3;319;429
4;857;851
5;532;752
6;310;898
7;634;859
8;250;742
9;639;269
10;828;521
11;957;665
12;253;283
13;780;298
14;963;667
15;347;175
16;572;699
17;824;278
18;960;246
19;247;580
20;297;171
21;939;307
22;371;982
23;322;486
24;568;280
25;69;818
26;731;331
27;279;329
28;247;277
29;360;844
30;312;792
31;910;706
32;834;943
33;284;879
34;134;633
35;901;870
36;873;209
37;461;480
38;821;939
39;670;524
40;471;167
41;729;473
42;490;836
43;702;923
44;587;986
45;346;933
46;812;951
47;279;574
48;992;944
49;718;800
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;0;942;53;386;1062;773;808;919;642;573;843;1027;233;717;1033;267;755;755;883;486;217;874;907;435;508;697;679;284;224;773;708;1011;1112;783;514;1107;792;519;1100;710;388;733;821;1011;1000;852;1103;492;1224;928
1;942;0;946;564;120;237;476;162;519;516;254;214;708;471;219;728;209;494;556;555;761;492;451;529;528;701;439;658;717;415;457;154;185;497;649;166;569;422;177;264;671;298;286;167;283;453;187;527;283;59
2;53;946;0;401;1066;788;839;933;674;552;834;1021;242;695;1027;246;766;731;856;515;199;849;936;453;490;739;660;295;234;800;737;1007;1120;815;553;1110;763;525;1108;706;361;724;841;1024;1019;882;1112;518;1227;935
3;386;564;401;0;683;386;469;533;320;357;517;680;160;479;686;255;370;527;666;167;258;631;555;57;290;462;423;107;168;417;363;652;727;451;275;730;596;150;715;363;302;412;441;625;618;504;718;150;847;544
4;1062;120;1066;683;0;339;549;223;616;621;331;211;829;558;212;846;323;573;613;667;880;550;503;647;639;788;535;778;837;497;548;154;94;573;755;47;642;542;95;376;785;399;367;170;301;517;109;640;163;148
5;773;237;788;386;339;0;265;147;282;494;375;433;545;517;439;605;66;556;662;332;626;603;280;338;473;467;465;492;553;195;223;380;357;278;415;387;641;281;344;266;588;341;93;241;240;259;343;309;498;192
6;808;476;839;469;549;265;0;326;167;709;640;687;617;762;692;723;329;805;920;324;727;863;103;412;669;253;706;569;624;73;106;629;525;32;318;591;889;444;512;519;748;596;190;392;290;50;504;325;683;419
7;919;162;933;533;223;147;326;0;401;590;389;376;690;579;380;741;171;611;694;477;766;630;290;486;582;566;536;637;698;274;328;315;216;350;548;267;692;416;203;336;710;397;145;93;135;297;200;455;367;102
8;642;519;674;320;616;282;167;401;0;612;618;711;459;691;716;575;324;738;866;162;572;814;268;265;560;196;632;414;465;150;79;660;617;141;159;663;819;336;604;473;616;549;257;486;416;213;599;170;769;471
9;573;516;552;357;621;494;709;590;612;0;315;507;386;143;513;306;435;185;321;500;355;302;761;384;71;791;110;364;392;639;616;514;701;705;622;655;241;276;694;256;196;222;586;657;718;725;703;471;761;536
10;843;254;834;517;331;375;640;389;618;315;0;193;622;228;198;592;311;243;305;583;635;241;649;507;354;815;213;581;630;568;582;202;422;651;702;356;315;369;418;158;502;110;462;421;523;634;430;551;453;299
11;1027;214;1021;680;211;433;687;376;711;507;193;0;800;407;6;782;386;409;419;715;824;358;666;659;547;901;403;756;809;623;657;62;303;706;823;212;463;529;305;319;695;298;497;362;489;667;320;684;281;274
12;233;708;242;160;829;545;617;690;459;386;622;800;0;527;807;143;524;571;707;297;120;686;708;214;315;565;480;52;8;571;512;781;879;596;369;874;624;286;867;481;246;512;601;781;778;656;871;292;991;695
13;717;471;695;479;558;517;762;579;691;143;228;407;527;0;411;450;451;48;187;603;499;159;796;495;212;880;59;501;533;688;680;428;647;763;727;584;128;367;642;251;335;182;611;629;714;769;653;571;679;505
14;1033;219;1027;686;212;439;692;380;716;513;198;6;807;411;0;788;392;413;421;721;830;360;670;666;552;906;408;762;815;628;662;65;304;711;829;212;466;535;306;326;701;303;502;365;493;671;321;690;278;278
15;267;728;246;255;846;605;723;741;575;306;592;782;143;450;788;0;570;487;617;417;50;606;807;312;244;700;414;168;142;669;617;773;909;706;505;888;527;325;899;475;124;484;676;827;845;758;904;404;1003;726
