PARÂMETROS
25;5;4;8
COORDENADAS
0;506;906
1;390;756
2;267;921
3;376;600
4;28;963
5;198;121
6;805;800
7;839;155
8;118;131
9;285;176
10;506;279
11;371;853
12;564;689
13;399;640
14;516;272
15;210;667
16;89;145
17;391;770
18;808;27
19;608;514
20;691;544
21;965;127
22;840;954
23;87;292
24;230;686
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;189;239;332;481;843;317;821;866;762;627;145;224;286;634;380;867;178;929;405;406;904;337;743;352
1;189;0;205;156;417;663;417;750;681;589;490;98;186;116;500;200;681;14;840;325;368;852;491;554;174
2;239;205;0;339;242;802;551;956;803;745;685;124;376;310;695;260;796;195;1044;530;567;1057;573;654;237
3;332;156;339;0;502;511;473;642;535;433;346;253;208;46;356;179;537;170;717;247;319;755;583;422;169
4;481;417;242;502;0;858;793;1144;836;827;834;360;601;491;845;347;820;411;1218;733;784;1255;812;673;342
5;843;663;802;511;858;0;910;641;80;102;346;752;675;556;352;546;111;677;617;567;649;767;1051;203;565
6;317;417;551;473;793;910;0;645;958;812;600;437;265;436;601;609;970;415;773;347;280;691;157;879;586
7;821;750;956;642;1144;641;645;0;721;554;355;840;600;654;343;811;750;760;131;426;416;129;799;764;807
8;866;681;803;535;836;80;958;721;0;172;415;765;714;581;422;543;32;694;697;621;706;847;1094;163;566
9;762;589;745;433;827;102;812;554;172;0;243;682;583;477;250;496;198;603;543;467;547;681;955;229;512
10;627;490;685;346;834;346;600;355;415;243;0;589;414;376;12;488;438;504;393;256;323;483;753;419;491
11;145;98;124;253;360;752;437;840;765;682;589;0;253;214;598;246;762;85;934;413;444;938;479;628;218
12;224;186;376;208;601;675;265;600;714;583;414;253;0;172;419;354;722;191;705;180;192;690;382;620;334
13;286;116;310;46;491;556;436;654;581;477;376;214;172;0;386;190;584;130;736;244;307;763;541;467;175
14;634;500;695;356;845;352;601;343;422;250;12;598;419;386;0;499;445;513;381;258;323;471;755;429;503
15;380;200;260;179;347;546;609;811;543;496;488;246;354;190;499;0;535;208;875;426;496;928;692;394;27
16;867;681;796;537;820;111;970;750;32;198;438;762;722;584;445;535;0;694;728;636;722;876;1103;147;559
17;178;14;195;170;411;677;415;760;694;603;504;85;191;130;513;208;694;0;852;335;375;861;485;566;181
18;929;840;1044;717;1218;617;773;131;697;543;393;934;705;736;381;875;728;852;0;526;530;186;927;768;876
19;405;325;530;247;733;567;347;426;621;467;256;413;180;244;258;426;636;335;526;0;88;526;497;566;415
20;406;368;567;319;784;649;280;416;706;547;323;444;192;307;323;496;722;375;530;88;0;498;436;654;482
21;904;852;1057;755;1255;767;691;129;847;681;483;938;690;763;471;928;876;861;186;526;498;0;836;893;923
22;337;491;573;583;812;1051;157;799;1094;955;753;479;382;541;755;692;1103;485;927;497;436;836;0;1002;666
23;743;554;654;422;673;203;879;764;163;229;419;628;620;467;429;394;147;566;768;566;654;893;1002;0;419
24;352;174;237;169;342;565;586;807;566;512;491;218;334;175;503;27;559;181;876;415;482;923;666;419;0
