PARÂMETROS
25;3;6;10
COORDENADAS
0;697;238
1;807;86
2;440;382
3;170;673
4;186;258
5;625;219
6;1000;331
7;154;26
8;417;50
9;224;628
10;385;814
11;354;842
12;264;836
13;975;185
14;427;105
15;27;186
16;253;746
17;630;395
18;787;60
19;745;287
20;100;265
21;891;561
22;728;782
23;512;876
24;115;170
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;187;294;683;511;74;316;582;337;613;655;694;738;283;300;672;674;170;199;68;597;376;544;664;585
1;187;0;471;866;644;225;311;655;391;796;841;881;925;195;380;786;861;356;32;210;729;482;700;843;697
2;294;471;0;396;282;246;562;456;332;327;435;467;486;570;277;457;409;190;473;319;359;485;492;499;388
3;683;866;396;0;415;642;897;647;670;70;257;249;188;941;623;507;110;537;869;692;413;729;568;397;505
4;511;644;282;415;0;440;817;234;310;371;590;607;583;792;285;174;492;464;632;559;86;767;753;698;113
5;74;225;246;642;440;0;391;509;268;572;641;679;714;351;228;598;645;176;226;137;527;433;572;666;512
6;316;311;562;897;817;391;0;899;647;830;781;823;892;148;615;983;854;375;344;258;902;254;526;731;899
7;582;655;456;647;234;509;899;0;264;606;821;840;817;836;284;204;726;602;633;646;245;910;949;922;149
8;337;391;332;670;310;268;647;264;0;609;764;794;800;574;55;413;715;405;370;404;383;696;795;831;324
9;613;796;327;70;371;572;830;606;609;0;246;250;211;871;561;483;121;468;799;622;383;670;527;380;470
10;655;841;435;257;590;641;781;821;764;246;0;41;122;862;710;722;148;485;854;638;618;565;344;141;698
11;694;881;467;249;607;679;823;840;794;250;41;0;90;904;740;732;139;525;893;678;630;606;378;161;713
12;738;925;486;188;583;714;892;817;800;211;122;90;0;964;748;691;90;573;935;729;594;684;467;251;682
13;283;195;570;941;792;351;148;836;574;871;862;904;964;0;553;948;914;403;225;251;878;385;646;831;860
14;300;380;277;623;285;228;615;284;55;561;710;740;748;553;0;408;664;353;362;366;364;650;740;775;318
15;672;786;457;507;174;598;983;204;413;483;722;732;691;948;408;0;603;638;770;725;107;941;920;843;89
16;674;861;409;110;492;645;854;726;715;121;148;139;90;914;664;603;0;515;869;672;504;664;476;289;592
17;170;356;190;537;464;176;375;602;405;468;485;525;573;403;353;638;515;0;369;157;545;309;399;495;562
18;199;32;473;869;632;226;344;633;370;799;854;893;935;225;362;770;869;369;0;230;716;511;724;861;680
19;68;210;319;692;559;137;258;646;404;622;638;678;729;251;366;725;672;157;230;0;645;310;495;633;640
20;597;729;359;413;86;527;902;245;383;383;618;630;594;878;364;107;504;545;716;645;0;844;813;736;96
21;376;482;485;729;767;433;254;910;696;670;565;606;684;385;650;941;664;309;511;310;844;0;274;492;868
22;544;700;492;568;753;572;526;949;795;527;344;378;467;646;740;920;476;399;724;495;813;274;0;235;866
23;664;843;499;397;698;666;731;922;831;380;141;161;251;831;775;843;289;495;861;633;736;492;235;0;809
24;585;697;388;505;113;512;899;149;324;470;698;713;682;860;318;89;592;562;680;640;96;868;866;809;0
