PARÂMETROS
25;5;4;8
COORDENADAS
0;448;657
1;227;593
2;774;179
3;81;585
4;330;672
5;411;116
6;836;492
7;773;959
8;973;138
9;767;511
10;184;767
11;48;943
12;261;156
13;659;640
14;595;93
15;297;152
16;252;396
17;192;210
18;732;187
19;792;602
20;523;601
21;995;850
22;424;23
23;785;481
24;727;538
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;230;578;373;118;542;421;443;738;350;286;491;534;211;582;527;326;515;549;348;93;580;634;380;303
1;230;0;686;146;129;511;617;657;873;546;179;393;438;434;620;446;198;384;647;565;296;809;603;569;503
2;578;686;0;803;663;368;319;780;203;332;832;1053;513;475;198;477;565;582;42;423;491;706;383;302;362
3;373;146;803;0;263;573;760;786;997;689;209;359;465;580;711;483;254;391;763;711;442;951;658;711;647
4;118;129;663;263;0;561;537;527;835;465;174;391;520;330;636;521;286;482;629;467;205;688;655;493;419
5;542;511;368;573;561;0;567;917;562;531;689;903;155;579;185;119;321;238;328;617;497;937;93;522;527
6;421;617;319;760;537;567;0;471;379;71;707;907;665;230;466;637;591;703;322;118;331;391;624;52;118
7;443;657;780;786;527;917;471;0;845;448;619;725;952;338;884;936;767;947;773;357;436;247;998;478;423
8;738;873;203;997;835;562;379;845;0;426;1009;1226;712;592;380;676;765;784;245;498;645;712;560;391;469
9;350;546;332;689;465;531;71;448;426;0;636;838;618;168;452;591;527;649;325;94;260;408;596;34;48
10;286;179;832;209;174;689;707;619;1009;636;0;222;615;491;789;625;377;557;797;629;377;815;781;665;589
11;491;393;1053;359;391;903;907;725;1226;838;222;0;815;682;1010;829;583;747;1019;818;585;951;993;869;790
12;534;438;513;465;520;155;665;952;712;618;615;815;0;626;339;36;240;87;472;693;516;1010;210;616;602
13;211;434;475;580;330;579;230;338;592;168;491;682;626;0;550;607;474;634;458;138;141;396;660;202;122
14;582;620;198;711;636;185;466;884;380;452;789;1010;339;550;0;303;457;419;166;545;513;856;184;432;464
15;527;446;477;483;521;119;637;936;676;591;625;829;36;607;303;0;248;119;436;668;502;987;181;588;577
16;326;198;565;254;286;321;591;767;765;527;377;583;240;474;457;248;0;195;523;577;339;870;410;539;495
17;515;384;582;391;482;238;703;947;784;649;557;747;87;634;419;119;195;0;540;716;512;1026;297;651;627
18;549;647;42;763;629;328;322;773;245;325;797;1019;472;458;166;436;523;540;0;419;463;713;348;298;351
19;348;565;423;711;467;617;118;357;498;94;629;818;693;138;545;668;577;716;419;0;269;320;686;121;91
20;93;296;491;442;205;497;331;436;645;260;377;585;516;141;513;502;339;512;463;269;0;533;586;288;213
21;580;809;706;951;688;937;391;247;712;408;815;951;1010;396;856;987;870;1026;713;320;533;0;1004;424;411
22;634;603;383;658;655;93;624;998;560;596;781;993;210;660;184;181;410;297;348;686;586;1004;0;583;597
23;380;569;302;711;493;522;52;478;391;34;665;869;616;202;432;588;539;651;298;121;288;424;583;0;81
24;303;503;362;647;419;527;118;423;469;48;589;790;602;122;464;577;495;627;351;91;213;411;597;81;0
