PARÂMETROS
25;3;6;10
COORDENADAS
0;512;108
1;77;991
2;499;64
3;489;404
4;957;170
5;529;52
6;593;719
7;849;347
8;425;878
9;349;65
10;205;420
11;678;792
12;602;495
13;502;627
14;726;259
15;685;536
16;922;857
17;44;386
18;990;488
19;61;633
20;635;172
21;770;630
22;244;591
23;595;499
24;625;277
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;984;45;296;449;58;616;413;774;168;437;703;397;519;261;461;853;544;610;692;138;582;552;399;203
1;984;0;1018;717;1203;1042;583;1005;365;965;585;633;722;559;978;759;855;605;1042;358;991;781;433;714;900
2;45;1018;0;340;470;32;661;450;817;150;461;749;443;563;299;507;898;557;648;718;173;627;585;445;247
3;296;717;340;0;523;354;331;364;478;366;284;431;145;223;277;236;626;445;507;485;274;360;308;142;186
4;449;1203;470;523;0;443;658;207;885;617;792;681;481;644;247;456;687;938;319;1008;322;496;828;489;348
5;58;1042;32;354;443;0;670;435;832;180;490;754;448;575;285;508;895;588;634;746;160;626;609;451;244
6;616;583;661;331;658;670;0;451;231;698;489;112;224;129;478;204;356;642;459;538;548;198;371;220;443
7;413;1005;450;364;207;435;451;0;679;574;648;476;287;445;151;250;515;805;199;838;276;293;652;296;234
8;774;365;817;478;885;832;231;679;0;816;508;267;421;262;688;429;497;622;686;438;736;424;339;415;633
9;168;965;150;366;617;180;698;574;816;0;383;797;498;582;423;578;977;442;767;636;305;704;536;498;348
10;437;585;461;284;792;490;489;648;508;383;0;601;404;362;545;493;839;164;787;257;496;602;175;397;443
11;703;633;749;431;681;754;112;476;267;797;601;0;306;241;535;256;252;752;435;637;621;186;478;304;517
12;397;722;443;145;481;448;224;287;421;498;404;306;0;165;266;92;483;568;388;558;324;215;370;8;219
13;519;559;563;223;644;575;129;445;262;582;362;241;165;0;430;204;478;517;507;441;474;268;260;158;370
14;261;978;299;277;247;285;478;151;688;423;545;535;266;430;0;280;629;693;349;762;125;373;585;273;102
15;461;759;507;236;456;508;204;250;429;578;493;256;92;204;280;0;399;658;308;631;367;126;444;97;265
16;853;855;898;626;687;895;356;515;497;977;839;252;483;478;629;399;0;996;375;889;742;273;728;484;651
17;544;605;557;445;938;588;642;805;622;442;164;752;568;517;693;658;996;0;951;247;628;765;286;562;591
18;610;1042;648;507;319;634;459;199;686;767;787;435;388;507;349;308;375;951;0;940;475;261;753;395;421
19;692;358;718;485;1008;746;538;838;438;636;257;637;558;441;762;631;889;247;940;0;736;709;187;550;666
20;138;991;173;274;322;160;548;276;736;305;496;621;324;474;125;367;742;628;475;736;0;477;573;329;105
21;582;781;627;360;496;626;198;293;424;704;602;186;215;268;373;126;273;765;261;709;477;0;527;218;381
22;552;433;585;308;828;609;371;652;339;536;175;478;370;260;585;444;728;286;753;187;573;527;0;362;493
23;399;714;445;142;489;451;220;296;415;498;397;304;8;158;273;97;484;562;395;550;329;218;362;0;224
24;203;900;247;186;348;244;443;234;633;348;443;517;219;370;102;265;651;591;421;666;105;381;493;224;0
