PARÂMETROS
25;5;4;8
COORDENADAS
0;23;39
1;141;711
2;814;69
3;380;435
4;519;291
5;607;240
6;294;310
7;295;884
8;687;407
9;631;548
10;619;72
11;37;70
12;990;331
13;197;518
14;494;785
15;342;584
16;912;784
17;585;185
18;721;664
19;358;734
20;809;33
21;928;647
22;241;297
23;410;790
24;54;479
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;682;791;533;556;617;383;887;759;792;596;34;1010;509;882;631;1159;580;936;771;786;1090;337;844;441
1;682;0;930;365;565;662;429;231;624;516;798;649;930;200;360;237;774;688;581;218;951;789;425;280;247
2;791;930;0;567;369;268;573;966;361;512;195;777;315;763;784;698;721;256;602;806;36;589;616;826;863
3;533;365;567;0;200;299;151;456;308;275;434;500;618;200;368;153;636;323;410;299;587;587;195;356;328
4;556;565;369;200;0;101;225;633;204;280;240;530;472;393;494;342;630;124;424;471;388;542;278;510;501
5;617;662;268;299;101;0;320;715;185;308;168;594;393;495;556;434;623;59;439;553;289;518;370;584;602
6;383;429;573;151;225;320;0;574;404;412;402;351;696;229;515;278;778;316;554;428;584;718;54;493;293
7;887;231;966;456;633;715;574;0;617;475;874;853;888;378;222;303;625;756;479;162;994;675;589;148;471
8;759;624;361;308;204;185;404;617;0;151;341;732;312;502;424;387;439;244;259;463;393;340;459;472;637
9;792;516;512;275;280;308;412;475;151;0;476;762;419;435;273;291;366;365;146;330;544;313;463;327;581
10;596;798;195;434;240;168;402;874;341;476;0;582;452;614;723;582;769;118;600;711;193;652;439;747;696
11;34;649;777;500;530;594;351;853;732;762;582;0;988;475;848;597;1129;559;905;737;772;1061;305;810;409
12;1010;930;315;618;472;393;696;888;312;419;452;988;0;814;672;695;459;430;428;749;348;322;749;739;947
13;509;200;763;200;393;495;229;378;502;435;614;475;814;0;399;159;762;511;543;269;780;742;225;345;148
14;882;360;784;368;494;556;515;222;424;273;723;848;672;399;0;252;418;606;257;145;815;455;549;84;535
15;631;237;698;153;342;434;278;303;387;291;582;597;695;159;252;0;604;467;387;150;722;589;304;216;306
16;1159;774;721;636;630;623;778;625;439;366;769;1129;459;762;418;604;0;682;225;556;758;137;829;502;910
17;580;688;256;323;124;59;316;756;244;365;118;559;430;511;606;467;682;0;497;594;270;575;361;629;606
18;936;581;602;410;424;439;554;479;259;146;600;905;428;543;257;387;225;497;0;369;637;207;604;335;692
19;771;218;806;299;471;553;428;162;463;330;711;737;749;269;145;150;556;594;369;0;833;576;452;76;396
20;786;951;36;587;388;289;584;994;393;544;193;772;348;780;815;722;758;270;637;833;0;625;626;855;876
21;1090;789;589;587;542;518;718;675;340;313;652;1061;322;742;455;589;137;575;207;576;625;0;771;537;890
22;337;425;616;195;278;370;54;589;459;463;439;305;749;225;549;304;829;361;604;452;626;771;0;521;260
23;844;280;826;356;510;584;493;148;472;327;747;810;739;345;84;216;502;629;335;76;855;537;521;0;472
24;441;247;863;328;501;602;293;471;637;581;696;409;947;148;535;306;910;606;692;396;876;890;260;472;0
