PARÂMETROS
25;3;6;10
COORDENADAS
0;453;435
1;193;199
2;288;666
3;780;7
4;130;303
5;947;797
6;242;370
7;780;362
8;561;987
9;535;836
10;651;307
11;323;483
12;174;85
13;55;66
14;81;43
15;581;923
16;114;112
17;772;826
18;244;215
19;453;367
20;520;932
21;416;407
22;672;830
23;879;895
24;265;152
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;351;283;538;348;612;220;335;562;409;235;138;447;542;540;504;468;504;303;68;501;46;451;626;339
1;351;0;476;617;121;962;177;609;869;723;470;312;115;191;192;821;117;853;53;309;802;304;792;977;85
2;283;476;0;822;395;671;299;578;421;299;510;186;592;643;656;389;580;509;453;341;352;288;417;633;514
3;538;617;822;0;714;807;649;355;1004;864;326;659;610;727;699;937;674;819;574;486;960;540;830;893;535
4;348;121;395;714;0;954;130;652;808;669;521;263;222;248;264;766;191;828;144;329;740;304;755;954;202
5;612;962;671;807;954;0;824;465;430;413;572;698;1050;1153;1148;387;1078;177;912;654;447;658;276;119;938
6;220;177;299;649;130;824;0;538;694;550;413;139;293;356;364;648;288;699;155;211;626;177;629;825;219
7;335;609;578;355;652;465;538;0;662;533;140;472;666;783;768;595;711;464;555;327;626;366;480;542;556
8;562;869;421;1004;808;430;694;662;0;153;685;557;981;1050;1059;67;982;265;834;629;68;597;192;331;885
9;409;723;299;864;669;413;550;533;153;0;541;411;833;907;913;98;837;237;685;476;97;445;137;349;735
10;235;470;510;326;521;572;413;140;685;541;0;372;526;642;628;619;571;532;417;206;638;255;523;630;415
11;138;312;186;659;263;698;139;472;557;411;372;0;424;495;502;510;425;565;279;174;490;120;492;692;336
12;447;115;592;610;222;1050;293;666;981;833;526;424;0;120;102;931;65;952;147;396;914;402;896;1073;113
13;542;191;643;727;248;1153;356;783;1050;907;642;495;120;0;34;1005;74;1044;240;499;982;496;982;1168;226
14;540;192;656;699;264;1148;364;768;1059;913;628;502;102;34;0;1012;76;1044;236;493;991;494;984;1167;213
15;504;821;389;937;766;387;648;595;67;98;619;510;931;1005;1012;0;935;214;784;570;61;541;130;299;833
16;468;117;580;674;191;1078;288;711;982;837;571;425;65;74;76;935;0;970;165;424;915;422;909;1094;156
17;504;853;509;819;828;177;699;464;265;237;532;565;952;1044;1044;214;970;0;807;558;273;549;100;127;843
18;303;53;453;574;144;912;155;555;834;685;417;279;147;240;236;784;165;807;0;258;768;257;749;930;66
19;68;309;341;486;329;654;211;327;629;476;206;174;396;499;493;570;424;558;258;0;568;54;512;678;285
20;501;802;352;960;740;447;626;626;68;97;638;490;914;982;991;61;915;273;768;568;0;535;183;360;820
21;46;304;288;540;304;658;177;366;597;445;255;120;402;496;494;541;422;549;257;54;535;0;494;672;296
22;451;792;417;830;755;276;629;480;192;137;523;492;896;982;984;130;909;100;749;512;183;494;0;216;790
23;626;977;633;893;954;119;825;542;331;349;630;692;1073;1168;1167;299;1094;127;930;678;360;672;216;0;963
24;339;85;514;535;202;938;219;556;885;735;415;336;113;226;213;833;156;843;66;285;820;296;790;963;0
