PARÂMETROS
25;5;4;8
COORDENADAS
0;231;790
1;795;684
2;822;928
3;197;660
4;636;762
5;841;78
6;506;431
7;807;783
8;969;660
9;209;189
10;792;149
11;949;344
12;558;652
13;253;266
14;641;133
15;533;925
16;484;118
17;97;431
18;727;115
19;812;654
20;785;763
21;804;281
22;974;930
23;394;795
24;840;569
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;573;606;134;405;937;452;576;749;601;851;845;354;524;774;330;718;383;837;596;554;766;756;163;647
1;573;0;245;598;177;607;384;99;175;767;535;373;239;684;572;355;645;742;573;34;79;403;304;416;123
2;606;245;0;680;249;850;588;145;305;960;779;597;381;872;815;289;877;878;818;274;169;647;152;448;359
3;134;598;680;0;450;868;384;622;772;471;784;815;361;397;689;427;613;249;760;615;596;715;822;238;649
4;405;177;249;450;0;714;355;172;348;714;632;522;134;626;629;192;661;632;653;206;149;509;377;244;280
5;937;607;850;868;714;0;486;705;595;641;86;287;639;617;207;901;359;823;119;576;687;206;862;844;491
6;452;384;588;384;355;486;0;463;516;383;401;451;227;302;327;494;313;409;385;378;433;333;684;380;361
7;576;99;145;622;172;705;463;0;203;842;634;461;281;757;670;308;739;792;672;129;29;502;222;413;216
8;749;175;305;772;348;595;516;203;0;894;540;316;411;817;620;510;727;901;596;157;210;413;270;590;157
9;601;767;960;471;714;641;383;842;894;0;584;756;579;88;435;804;284;266;523;761;813;602;1065;633;736
10;851;535;779;784;632;86;401;634;540;584;0;250;554;551;151;818;309;750;73;505;614;132;801;758;422
11;845;373;597;815;522;287;451;461;316;756;250;0;497;700;373;714;517;856;318;338;449;158;586;715;250
12;354;239;381;361;134;639;227;281;411;579;554;497;0;491;525;274;539;511;562;254;252;445;500;217;293
13;524;684;872;397;626;617;302;757;817;88;551;700;491;0;410;716;274;227;497;680;728;551;980;547;660
14;774;572;815;689;629;207;327;670;620;435;151;373;525;410;0;799;157;620;87;548;646;220;863;706;479
15;330;355;289;427;192;901;494;308;510;804;818;714;274;716;799;0;808;658;832;388;299;698;441;190;470
16;718;645;877;613;661;359;313;739;727;284;309;517;539;274;157;808;0;497;243;628;711;359;948;682;574
17;383;742;878;249;632;823;409;792;901;266;750;856;511;227;620;658;497;0;704;748;763;722;1009;469;755
18;837;573;818;760;653;119;385;672;596;523;73;318;562;497;87;832;243;704;0;545;650;182;851;757;467
19;596;34;274;615;206;576;378;129;157;761;505;338;254;680;548;388;628;748;545;0;112;373;320;441;89
20;554;79;169;596;149;687;433;29;210;813;614;449;252;728;646;299;711;763;650;112;0;482;252;392;201
21;766;403;647;715;509;206;333;502;413;602;132;158;445;551;220;698;359;722;182;373;482;0;670;657;290
22;756;304;152;822;377;862;684;222;270;1065;801;586;500;980;863;441;948;1009;851;320;252;670;0;595;385
23;163;416;448;238;244;844;380;413;590;633;758;715;217;547;706;190;682;469;757;441;392;657;595;0;499
24;647;123;359;649;280;491;361;216;157;736;422;250;293;660;479;470;574;755;467;89;201;290;385;499;0
