PARÂMETROS
25;3;6;10
COORDENADAS
0;774;87
1;643;859
2;86;549
3;943;319
4;894;573
5;85;716
6;255;444
7;909;197
8;476;96
9;959;517
10;480;485
11;180;523
12;561;250
13;492;110
14;178;923
15;540;600
16;291;425
17;303;491
18;816;744
19;39;593
20;595;988
21;810;974
22;337;674
23;460;427
24;659;131
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;783;828;287;500;932;629;174;298;468;494;736;268;282;1026;563;589;620;658;892;918;887;731;462;123
1;783;0;637;617;380;576;568;713;781;465;407;572;614;764;469;278;558;501;207;659;137;202;357;469;728
2;828;637;0;887;808;167;198;895;597;873;399;97;561;597;385;456;239;224;755;64;672;839;280;393;709
3;287;617;887;0;258;945;699;126;517;198;491;789;388;497;974;491;660;662;443;944;754;668;702;494;340
4;500;380;808;258;0;821;651;376;634;85;423;715;463;613;796;355;620;596;187;855;511;409;566;457;500
5;932;576;167;945;821;0;320;973;732;896;457;215;666;729;226;469;356;313;731;131;578;769;255;473;819
6;629;568;198;699;651;320;0;699;412;707;228;108;362;409;485;324;40;67;636;262;641;767;244;205;511
7;174;713;895;126;376;973;699;0;444;323;516;798;352;425;1030;546;658;673;554;955;851;783;744;504;258
8;298;781;597;517;634;732;412;444;0;640;389;519;175;21;879;508;377;431;731;661;899;939;594;331;186
9;468;465;873;198;85;896;707;323;640;0;480;779;479;619;880;427;674;656;268;923;595;480;641;507;488
10;494;407;399;491;423;457;228;516;389;480;0;302;248;375;532;129;198;177;424;454;515;589;237;61;396
11;736;572;97;789;715;215;108;798;519;779;302;0;468;517;400;368;148;127;673;157;623;774;217;296;618
12;268;614;561;388;463;666;362;352;175;479;248;468;0;156;774;350;321;353;555;624;738;765;479;203;154
13;282;764;597;497;613;729;409;425;21;619;375;517;156;0;871;492;373;425;711;662;884;920;584;318;168
14;1026;469;385;974;796;226;485;1030;879;880;532;400;774;871;0;485;510;449;662;358;422;634;295;570;926
15;563;278;456;491;355;469;324;546;508;427;129;368;350;492;485;0;304;260;311;501;391;461;216;190;483
16;589;558;239;660;620;356;40;658;377;674;198;148;321;373;510;304;0;67;614;302;639;755;253;169;471
17;620;501;224;662;596;313;67;673;431;656;177;127;353;425;449;260;67;0;571;283;576;700;186;169;506
18;658;207;755;443;187;731;636;554;731;268;424;673;555;711;662;311;614;571;0;791;329;230;484;476;632
19;892;659;64;944;855;131;262;955;661;923;454;157;624;662;358;501;302;283;791;0;682;860;308;452;773
20;918;137;672;754;511;578;641;851;899;595;515;623;738;884;422;391;639;576;329;682;0;215;406;577;859
21;887;202;839;668;409;769;767;783;939;480;589;774;765;920;634;461;755;700;230;860;215;0;560;649;856
22;731;357;280;702;566;255;244;744;594;641;237;217;479;584;295;216;253;186;484;308;406;560;0;275;631
23;462;469;393;494;457;473;205;504;331;507;61;296;203;318;570;190;169;169;476;452;577;649;275;0;356
24;123;728;709;340;500;819;511;258;186;488;396;618;154;168;926;483;471;506;632;773;859;856;631;356;0
