PARÂMETROS
25;3;6;10
COORDENADAS
0;201;411
1;459;116
2;83;175
3;250;151
4;73;553
5;707;652
6;665;562
7;483;300
8;503;202
9;976;569
10;737;208
11;558;232
12;878;66
13;612;281
14;108;872
15;146;703
16;735;38
17;851;337
18;735;135
19;452;108
20;771;789
21;375;6
22;332;984
23;165;859
24;110;483
DISTÂNCIAS
DE/PARA;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;0;391;263;264;191;560;487;303;367;790;573;399;759;431;470;297;651;654;601;393;683;440;587;449;116
1;391;0;380;211;583;590;491;185;96;687;292;152;421;225;833;665;286;450;276;10;741;138;877;799;506
2;263;380;0;168;378;785;698;419;420;976;654;478;802;539;697;531;666;784;653;375;922;337;846;688;309
3;264;211;168;0;439;678;584;276;258;837;490;318;633;384;734;561;497;629;485;206;823;191;837;713;360
4;191;583;378;439;0;641;592;481;555;903;748;581;940;603;320;166;838;807;782;584;736;624;502;319;79
5;560;590;785;678;641;0;99;417;494;281;445;445;610;382;638;563;614;346;517;600;151;726;500;580;620
6;487;491;698;584;592;99;0;319;394;311;361;346;539;285;637;537;528;291;432;501;250;627;537;581;560
7;303;185;419;276;481;417;319;0;100;561;270;101;459;130;683;525;363;369;301;194;567;313;700;643;415
8;367;96;420;258;555;494;394;100;0;598;234;62;398;134;777;615;284;373;241;106;645;234;800;738;483
9;790;687;976;837;903;281;311;561;598;0;432;536;512;464;919;840;583;263;496;697;300;823;766;861;870
10;573;292;654;490;748;445;361;270;234;432;0;180;200;144;914;770;170;172;73;302;581;414;875;866;684
11;399;152;478;318;581;445;346;101;62;536;180;0;360;72;782;625;262;311;201;163;596;290;785;739;513
12;759;421;802;633;940;610;539;459;398;512;200;360;0;342;1114;970;145;272;158;428;730;506;1068;1066;873
13;431;225;539;384;603;382;285;130;134;464;144;72;342;0;776;628;272;245;190;235;532;363;756;730;541
14;470;833;697;734;320;638;637;683;777;919;914;782;1114;776;0;173;1043;915;967;837;668;906;250;58;389
15;297;665;531;561;166;563;537;525;615;840;770;625;970;628;173;0;888;794;818;669;630;733;336;157;222
16;651;286;666;497;838;614;528;363;284;583;170;262;145;272;1043;888;0;320;97;291;751;361;1028;999;767
17;654;450;784;629;807;346;291;369;373;263;172;311;272;245;915;794;320;0;232;460;459;579;829;862;755
18;601;276;653;485;782;517;432;301;241;496;73;201;158;190;967;818;97;232;0;284;654;382;939;921;715
19;393;10;375;206;584;600;501;194;106;697;302;163;428;235;837;669;291;460;284;0;752;127;884;803;507
20;683;741;922;823;736;151;250;567;645;300;581;596;730;532;668;630;751;459;654;752;0;877;480;610;728
21;440;138;337;191;624;726;627;313;234;823;414;290;506;363;906;733;361;579;382;127;877;0;978;878;545
22;587;877;846;837;502;500;537;700;800;766;875;785;1068;756;250;336;1028;829;939;884;480;978;0;208;547
23;449;799;688;713;319;580;581;643;738;861;866;739;1066;730;58;157;999;862;921;803;610;878;208;0;380
24;116;506;309;360;79;620;560;415;483;870;684;513;873;541;389;222;767;755;715;507;728;545;547;380;0
